No.,(mm),(Mpa),(Gpa),(mm),(mm),(mm),(kN)
1            ,100,40.8,230,0.11,50,75,5.8
2            ,100,40.8,230,0.11,50,150,9.2
3            ,100,44.93,230,0.11,50,300,11.95
4            ,100,44.31,230,0.22,50,65,9.55
5            ,100,44.31,230,0.22,50,150,16.25
6            ,150,23.79,256,0.165,25,190,5.74
7            ,150,23.28,256,0.165,25,75,4.75
8            ,150,23.28,256,0.165,25,85,5.69
9            ,150,23.28,256,0.165,25,95,5.76
10         ,150,23.28,256,0.165,25,95,5.76
11         ,150,23.28,256,0.165,25,95,6.17
12         ,150,23.28,256,0.165,25,115,5.96
13         ,150,23.28,256,0.165,25,145,5.95
14         ,150,23.28,256,0.165,25,190,6.68
15         ,150,23.28,256,0.165,25,190,6.35
16         ,150,23.28,256,0.165,25,95,6.17
17         ,150,23.28,256,0.165,25,75,5.72
18         ,150,23.28,256,0.165,25,85,6
19         ,150,23.28,256,0.165,25,95,6.14
20         ,150,23.28,256,0.165,25,115,6.19
21         ,150,23.28,256,0.165,25,145,6.27
22         ,150,23.28,256,0.165,25,190,7.03
23         ,150,27.44,256,0.165,25,100,5.94
24         ,150,27.44,256,0.165,50,100,11.66
25         ,150,27.44,256,0.165,75,100,14.63
26         ,150,27.44,256,0.165,100,100,19.07
27         ,100,27.44,256,0.165,85,100,15.08
28         ,100,27.44,256,0.165,100,100,15.75
29         ,100,27.44,22.5,1.27,25.3,100,4.78
30         ,100,27.44,22.5,1.27,50.6,100,8.02
31         ,150,19.12,256,0.165,25,95,5.86
32         ,150,19.12,256,0.165,25,95,5.9
33         ,150,20.08,256,0.165,25,95,5.43
34         ,150,20.08,256,0.165,25,95,5.76
35         ,150,19.12,256,0.165,25,95,5
36         ,150,19.12,256,0.165,25,95,5.5
37         ,150,20.08,256,0.165,25,95,5.93
38         ,150,19.12,256,0.165,25,95,5.38
39         ,150,19.12,256,0.165,25,95,5.51
40         ,150,20.08,256,0.165,25,95,5.67
41         ,150,20.08,256,0.165,25,95,6.19
42         ,150,21.36,256,0.165,25,95,6.26
43         ,150,21.36,256,0.165,50,95,12.22
44         ,150,21.36,256,0.165,75,95,14.29
45         ,150,21.36,256,0.165,100,95,15.58
46         ,100,21.36,256,0.165,80,95,14.27
47         ,100,21.36,256,0.165,80,95,13.78
48         ,100,21.36,256,0.165,90,95,13.56
49         ,100,21.36,256,0.165,90,95,15.66
50         ,100,21.36,256,0.165,100,95,15.57
51         ,100,21.36,256,0.165,100,95,17.43
52         ,150,22.16,256,0.165,25,95,6.01
53         ,150,22.16,256,0.165,25,95,5.85
54         ,150,22.16,256,0.165,25,145,5.76
55         ,150,22.16,256,0.165,25,145,5.73
56         ,150,22.16,256,0.165,25,190,5.56
57         ,150,22.16,256,0.165,25,190,5.85
58         ,150,25.2,256,0.165,25,95,6.8
59         ,150,25.2,256,0.165,25,95,6.62
60         ,150,25.2,256,0.165,25,145,7.33
61         ,150,25.2,256,0.165,25,145,6.49
62         ,150,25.2,256,0.165,25,190,7.07
63         ,150,25.2,256,0.165,25,190,7.44
64         ,150,25.2,256,0.165,25,240,7.16
65         ,150,25.2,256,0.165,25,240,6.24
66         ,100,29.25,230,0.167,40,100,8.75
67         ,100,27,230,0.167,40,100,8.85
68         ,100,29.25,230,0.167,40,200,9.3
69         ,100,27,230,0.167,40,200,8.5
70         ,100,29.25,230,0.167,40,300,9.3
71         ,100,27,230,0.167,40,300,8.3
72         ,100,25.3,230,0.167,40,100,8.75
73         ,100,25.3,230,0.167,40,100,8.85
74         ,100,26.5,230,0.167,40,100,7.75
75         ,100,26.5,230,0.167,40,100,7.65
76         ,100,24.7,230,0.167,40,100,9
77         ,100,25.3,230,0.334,40,100,12
78         ,100,25.3,230,0.334,40,100,10.8
79         ,100,25.3,230,0.501,40,100,12.65
80         ,100,25.3,230,0.501,40,100,14.35
81         ,100,24.7,373,0.165,40,100,11.55
82         ,100,24.7,373,0.165,40,100,11
83         ,100,26.5,230,0.167,40,100,9.85
84         ,100,26.5,230,0.167,40,100,9.5
85         ,100,26.5,230,0.167,40,100,8.8
86         ,100,26.5,230,0.167,40,100,9.25
87         ,100,24.7,230,0.167,40,100,6.75
88         ,100,24.7,230,0.167,40,100,6.8
89         ,100,25.3,230,0.111,40,100,7.7
90         ,100,26.5,230,0.111,40,100,6.95
91         ,150,16.4,240,0.083,100,100,11
92         ,150,16.4,240,0.083,100,150,11.25
93         ,150,29.36,240,0.083,100,100,12.5
94         ,150,29.36,240,0.083,100,150,12.25
95         ,150,29.36,240,0.083,100,150,12.75
96         ,100,23.79,230,0.11,50,75,6.25
97         ,100,43.42,230,0.11,50,150,9.2
98         ,100,43.42,230,0.11,50,300,11.95
99         ,100,46.07,230,0.22,50,75,10
100      ,100,45.12,230,0.11,50,150,7.3
101      ,100,45.12,372,0.165,50,65,9.55
102      ,100,45.44,230,0.22,50,150,16.25
103      ,100,42.35,230,0.11,50,150,10
104      ,100,24.41,230,0.11,10,150,2.4
105      ,100,24.41,230,0.11,20,150,5.35
106      ,100,24.41,230,0.33,20,150,9.25
107      ,100,25.34,230,0.55,20,150,11.75
108      ,500,25.34,230,0.11,100,200,20.6
109      ,500,43.53,230,0.33,100,200,38
110      ,500,48.85,230,0.33,100,200,34.1
111      ,100,65.73,138,1,40,250,16.99
112      ,100,65.73,138,1,40,250,16.96
113      ,100,65.73,138,1,40,250,17.23
114      ,100,65.73,138,2,40,250,22.32
115      ,100,65.73,138,2,40,250,23.69
116      ,100,65.73,138,2,40,250,23.11
117      ,100,65.73,261.1,0.33,50,300,18.91
118      ,100,65.73,261.1,0.33,50,300,16.96
119      ,100,65.73,261.1,0.33,50,300,16.64
120      ,100,65.73,261.1,0.66,50,300,25.63
121      ,100,65.73,261.1,0.66,50,300,25.33
122      ,100,65.73,261.1,0.66,50,300,27.24
123      ,100,65.73,261.1,0.167,50,300,12.2
124      ,100,65.73,261.1,0.167,50,300,11.8
125      ,100,65.73,261.1,0.167,50,300,12.23
126      ,100,65.73,425,0.33,50,300,19.49
127      ,100,65.73,425,0.33,50,300,19.48
128      ,100,65.73,124.5,0.386,50,300,12.76
129      ,100,65.73,124.5,0.386,50,300,12.86
130      ,100,65.73,124.5,0.386,50,300,11.88
131      ,100,65.73,261.1,0.66,50,300,20.64
132      ,100,56.02,261.1,0.66,50,300,22.29
133      ,100,56.02,261.1,0.66,50,300,23.57
134      ,100,56.02,261.1,0.33,50,300,15.35
135      ,100,56.02,261.1,0.33,50,300,16.86
136      ,100,56.02,261.1,0.33,50,300,16.29
137      ,100,56.02,261.1,0.167,50,300,8.76
138      ,100,56.02,261.1,0.167,50,300,8.73
139      ,100,56.02,261.1,0.167,50,300,10.02
140      ,100,56.02,425,0.33,50,300,16.56
141      ,100,56.02,425,0.33,50,300,16.25
142      ,100,56.02,425,0.33,50,300,14.64
143      ,100,56.02,124.5,0.386,50,300,12.86
144      ,100,56.02,124.5,0.386,50,300,12.18
145      ,100,56.02,124.5,0.386,50,300,12.71
146      ,100,56.02,261.1,0.33,50,300,14.09
147      ,100,24.41,261.1,0.33,50,300,13.87
148      ,100,24.41,261.1,0.33,50,300,15.09
149      ,100,24.41,261.1,0.33,50,300,14.54
150      ,100,24.41,261.1,0.33,50,300,15.14
151      ,100,24.41,261.1,0.33,50,300,15.29
152      ,100,65.73,230,0.083,100,300,12.2
153      ,100,65.73,230,0.083,100,300,11.8
154      ,100,65.73,230,0.083,100,300,12.25
155      ,100,65.73,230,0.167,100,300,18.9
156      ,100,65.73,230,0.167,100,300,16.95
157      ,100,65.73,230,0.167,100,300,16.65
158      ,100,65.73,230,0.333,100,300,25.65
159      ,100,65.73,230,0.333,100,300,25.35
160      ,100,65.73,230,0.333,100,300,27.25
161      ,100,65.73,390,0.167,100,300,19.5
162      ,100,65.73,390,0.167,100,300,19.5
163      ,100,65.73,23.9,1,100,300,12.75
164      ,100,65.73,23.9,1,100,300,12.85
165      ,100,65.73,23.9,1,100,300,11.9
166      ,100,65.73,230,0.222,40,250,15.4
167      ,100,65.73,230,0.222,40,250,13.9
168      ,100,65.73,230,0.222,40,250,13
169      ,100,65.73,390,0.167,40,250,12
170      ,100,65.73,390,0.167,40,250,11.9
171      ,100,65.73,390,0.5,40,250,25.9
172      ,100,65.73,390,0.5,40,250,23.4
173      ,100,65.73,390,0.5,40,250,23.7
174      ,150,22.96,83.03,0.507,20,150,5.81
175      ,150,22.96,83.03,0.507,50,150,10.6
176      ,150,22.96,83.03,0.507,80,150,18.23
177      ,150,36.24,83.03,0.507,20,100,4.63
178      ,150,36.24,83.03,0.507,20,150,5.77
179      ,150,36.24,83.03,0.507,50,60,9.42
180      ,150,36.24,83.03,0.507,50,100,11.03
181      ,150,36.24,83.03,0.507,50,150,11.8
182      ,150,36.24,83.03,0.507,80,100,14.65
183      ,150,36.24,83.03,0.507,80,150,16.44
184      ,150,46.07,83.03,0.507,20,100,5.99
185      ,150,46.07,83.03,0.507,20,150,5.9
186      ,150,46.07,83.03,0.507,50,100,9.84
187      ,150,46.07,83.03,0.507,50,150,12.28
188      ,150,46.07,83.03,0.507,80,100,14.02
189      ,150,46.07,83.03,0.507,80,150,16.71
190      ,150,22.96,207,0.33,20,150,5.48
191      ,150,22.96,207,0.33,50,150,10.02
192      ,150,22.96,207,0.33,80,150,19.27
193      ,150,36.24,207,0.33,20,100,5.54
194      ,150,36.24,207,0.33,20,150,4.61
195      ,150,36.24,207,0.33,50,150,21.71
196      ,150,36.24,207,0.33,80,100,22.64
197      ,150,46.07,207,0.33,20,100,5.78
198      ,150,46.07,207,0.33,50,100,12.95
199      ,150,46.07,207,0.33,50,150,16.72
200      ,150,46.07,207,0.33,80,100,16.24
201      ,150,46.07,207,0.33,80,150,22.8
202      ,150,48.56,233,0.169,60,20,8.55
203      ,150,48.56,233,0.169,60,20,9
204      ,150,48.56,233,0.169,60,40,12.7
205      ,150,48.56,233,0.169,60,40,11.9
206      ,150,48.56,237,0.169,60,40,13.85
207      ,150,48.56,237,0.169,60,40,14.6
208      ,150,48.56,237,0.169,60,40,14.6
209      ,150,48.56,233,0.169,60,40,10.7
210      ,150,48.56,233,0.169,60,40,12.3
211      ,150,48.56,233,0.169,60,40,10.95
212      ,150,48.56,233,0.169,60,40,12.5
213      ,150,48.56,233,0.169,60,40,11.75
214      ,150,48.56,233,0.169,60,40,11.95
215      ,150,48.56,233,0.169,60,40,12.1
216      ,150,48.56,232,0.169,60,60,12.5
217      ,150,48.56,237,0.169,60,60,12.35
218      ,150,48.56,233,0.169,60,80,15.4
219      ,150,48.56,233,0.169,60,80,16.65
220      ,150,48.56,233,0.169,60,80,14.95
221      ,150,48.56,233,0.169,60,100,17.65
222      ,150,48.56,233,0.169,60,100,15.1
223      ,150,48.56,233,0.169,60,100,17.15
224      ,150,48.56,233,0.169,60,200,18.15
225      ,150,48.56,237,0.169,60,200,17.05
226      ,150,48.56,237,0.169,60,200,16.2
227      ,150,48.56,237,0.169,60,200,16.9
228      ,150,48.56,237,0.169,60,200,18.35
229      ,150,48.56,233,0.169,30,100,5.1
230      ,150,48.56,233,0.169,30,100,5.45
231      ,150,48.56,233,0.169,90,100,15.7
232      ,150,48.56,233,0.169,150,100,22.45
233      ,150,48.56,233,0.169,150,100,24.8
234      ,150,74.67,233,0.169,15,100,6
235      ,150,74.67,233,0.169,30,100,9
236      ,150,74.67,233,0.169,90,100,22.3
237      ,150,74.67,233,0.169,120,100,27.7
238      ,150,74.67,233,0.169,150,100,28.8
239      ,150,74.67,233,0.169,60,20,9.75
240      ,150,74.67,233,0.169,60,40,14.1
241      ,150,74.67,233,0.169,60,60,18.35
242      ,150,74.67,233,0.169,60,100,18.35
243      ,150,74.67,233,0.169,60,200,18.05
244      ,150,74.67,221,0.111,60,20,7.46
245      ,150,74.67,221,0.111,60,40,11.32
246      ,150,74.67,221,0.111,60,60,11.42
247      ,150,74.67,221,0.111,60,100,11.9
248      ,150,74.67,221,0.111,60,200,12.42
249      ,150,56.42,233,0.169,60,20,4.76
250      ,150,56.42,233,0.169,60,40,11.06
251      ,150,56.42,233,0.169,60,60,14.94
252      ,150,56.42,233,0.169,60,100,14.54
253      ,150,56.42,233,0.169,60,200,13.7
254      ,150,56.42,221,0.111,60,20,4.94
255      ,150,56.42,221,0.111,60,40,10.2
256      ,150,56.42,221,0.111,60,60,14.16
257      ,150,56.42,221,0.111,60,100,11.7
258      ,150,56.42,221,0.111,60,200,12.84
259      ,150,48.56,73,0.169,50,20,4.8
260      ,150,48.56,73,0.169,50,20,4.55
261      ,150,48.56,73,0.169,50,30,7.05
262      ,150,48.56,73,0.169,50,30,6.25
263      ,150,48.56,73,0.169,50,100,9.1
264      ,150,48.56,73,0.169,50,100,8.4
265      ,150,48.56,73,0.169,50,100,8.25
266      ,150,48.56,73,0.169,50,200,8.3
267      ,150,48.56,73,0.169,50,200,9.05
268      ,150,48.56,73,0.169,50,200,9.35
269      ,150,48.56,73,0.169,20,100,3.75
270      ,150,48.56,73,0.169,20,100,3.8
271      ,150,48.56,73,0.169,80,100,10.95
272      ,150,48.56,73,0.169,80,100,9.9
273      ,150,48.56,73,0.169,100,100,12.25
274      ,150,48.56,73,0.169,100,100,11.35
275      ,150,48.56,73,0.169,120,100,14
276      ,150,48.56,73,0.169,120,100,14.35
277      ,150,48.56,73,0.169,140,100,16.75
278      ,150,48.56,73,0.169,140,100,18.55
279      ,150,74.67,71,0.341,50,60,11.75
280      ,150,74.67,71,0.341,50,60,11.15
281      ,150,74.67,71,0.341,50,100,12.45
282      ,150,74.67,71,0.341,50,100,11.5
283      ,150,74.67,71,0.341,50,200,12.75
284      ,150,74.67,71,0.341,50,200,11.55
285      ,150,74.67,73,0.169,50,20,5.35
286      ,150,74.67,73,0.169,50,40,9.1
287      ,150,74.67,73,0.169,50,60,8.5
288      ,150,74.67,73,0.169,50,100,9.2
289      ,150,74.67,73,0.169,50,200,10.15
290      ,150,74.67,73,0.169,20,100,4
291      ,150,74.67,73,0.169,80,100,13.01
292      ,150,74.67,73,0.169,100,100,15.14
293      ,150,74.67,73,0.169,120,100,17.4
294      ,150,74.67,73,0.169,140,100,21.34
295      ,150,56.42,71,0.341,50,20,5.76
296      ,150,56.42,71,0.341,50,40,9.34
297      ,150,56.42,71,0.341,50,60,9.2
298      ,150,56.42,71,0.341,50,100,11.3
299      ,150,56.42,71,0.341,50,200,9.96
300      ,150,56.42,73,0.169,50,20,5.62
301      ,150,56.42,73,0.169,50,40,8.48
302      ,150,56.42,73,0.169,50,100,8.18
303      ,150,56.42,73,0.169,50,200,8.72
304      ,100,64.08,390,0.501,40,250,23.5
305      ,100,64.08,230,0.22,40,250,14.1
306      ,500,47.64,230,0.33,100,200,38
307      ,150,23.82,170,1.4,50,400,20.1
308      ,150,23.82,170,1.4,50,400,21.78
309      ,150,23.82,170,1.4,50,400,20.71
310      ,150,23.82,170,1.4,50,400,21.55
311      ,150,23.82,230,0.166,100,400,21.41
312      ,150,23.82,230,0.166,100,400,21.81
313      ,150,23.82,230,0.166,100,400,21.24
314      ,150,23.82,230,0.166,100,400,21.69
315      ,150,23.82,230,0.166,100,400,20.74
316      ,150,23.82,230,0.166,100,400,22.11
317      ,150,21.46,170,1.4,50,250,19.02
318      ,150,21.46,170,1.4,50,250,19.86
319      ,150,21.46,170,1.4,50,250,17.24
320      ,150,21.46,230,0.166,100,100,19.37
321      ,150,21.46,230,0.166,100,100,20.37
322      ,150,21.46,230,0.166,100,100,22.58
323      ,150,21.46,170,1.4,50,125,19.46
324      ,150,21.46,170,1.4,50,125,19.3
325      ,150,21.46,170,1.4,50,125,20.74
326      ,150,26,180,1.2,80,400,30.14
327      ,150,26,180,1.2,80,400,33.56
328      ,150,26,180,1.2,80,100,32.47
329      ,150,26,180,1.2,80,100,28.33
330      ,150,26,180,1.2,80,100,27.58
331      ,150,26,241,0.166,80,400,24
332      ,150,26,241,0.166,80,400,24.96
333      ,150,26,241,0.166,80,100,23.65
334      ,150,26,241,0.166,80,100,21.49
335      ,150,26,241,0.166,80,100,21.91
336      ,150,52.6,165,1.2,50,400,23
337      ,150,52.6,165,1.2,80,400,36.75
338      ,150,52.6,165,1.2,50,200,19.8
339      ,150,52.6,165,1.2,80,200,33
340      ,150,52.6,195.7,1.2,80,355,34.5
341      ,150,52.6,195.7,1.2,80,355,33.5
342      ,150,52.6,197.63,1.2,80,355,37.6
343      ,150,52.6,197.63,1.2,80,355,39.1
344      ,150,52.6,195.46,1.2,80,355,41
345      ,150,52.6,195.46,1.2,80,355,38
346      ,150,52.6,283.65,0.13,80,355,16.5
347      ,150,52.6,283.65,0.13,80,355,17.4
348      ,150,52.6,291.02,0.13,80,355,14.4
349      ,150,52.6,291.02,0.13,80,355,14.6
350      ,150,26,180,1.2,80,400,40
351      ,150,26,180,1.2,80,400,37
352      ,150,26,180,1.2,80,400,37.5
353      ,150,26,241,0.166,100,400,25.1
354      ,150,26,241,0.166,100,400,24.27
355      ,150,26,241,0.166,100,400,25.19
356      ,150,26,241,0.166,100,100,21
357      ,150,26,241,0.166,100,100,21.5
